event_id,transaction_id,customer_id,customer_name,customer_email,customer_phone,merchant_category,gateway_provider,payment_method,user_device,event_type,failure_category,created_at,amount,customer_age_days,prev_payment_count,prev_success_count,prev_failure_count,historical_success_rate,days_since_last_success,customer_activity_score,failure_category_encoded,attempt_number,hours_since_failure,invoice_age_days,prev_recovery_actions,prev_recovery_outcomes,recovered
EV_102154,TXN_202602154,CUST_1615,Aditya Joshi,aditya.joshi49@outlook.com,+918217799930,SaaS,PayU,NetBanking,Tablet,overdue_invoice,insufficient_funds,2026-07-17 10:36:37,26361.11,545,28,23,5,0.8214,92,4.01,1,1,26.3,31,2,0,0
EV_102155,TXN_202602155,CUST_1346,Saanvi Rao,saanvi.rao43@company.in,+919245317068,EdTech,Stripe,Debit Card,Mobile,failed_payment,network_error,2026-07-16 10:28:37,1038.26,1137,51,40,11,0.7843,0,6.59,2,1,8.1,0,3,2,1
EV_102156,TXN_202602156,CUST_2788,Rohan Kumar,rohan.kumar89@company.in,+917420179083,SaaS,Cashfree,UPI,Tablet,failed_payment,network_error,2026-07-15 10:56:37,4522.7,634,30,15,15,0.5,146,6.24,2,4,0.3,0,2,1,0
EV_102157,TXN_202602157,CUST_2484,Ira Verma,ira.verma37@enterprise.in,+916911285395,SaaS,Stripe,Credit Card,Tablet,failed_payment,bank_downtime,2026-07-17 09:55:37,1131.76,819,36,20,16,0.5556,0,6.28,4,2,15.28,0,1,1,1
EV_102158,TXN_202602158,CUST_1324,Ira Patel,ira.patel27@yahoo.com,+917302182635,SaaS,PayU,UPI,Tablet,failed_payment,expired_card,2026-07-16 06:17:37,50000.0,1011,3,3,0,1.0,0,8.65,0,1,13.54,0,2,2,1
EV_102159,TXN_202602159,CUST_2733,Saanvi Mehta,saanvi.mehta91@outlook.com,+919277301280,SaaS,PayU,Debit Card,Desktop,failed_payment,insufficient_funds,2026-06-08 22:39:37,1167.39,979,8,7,1,0.875,33,9.32,1,1,6.6,0,3,1,0
EV_102160,TXN_202602160,CUST_1061,Saanvi Rao,saanvi.rao79@enterprise.in,+917292569882,SaaS,CCAvenue,UPI,Tablet,failed_payment,insufficient_funds,2026-08-19 01:47:37,2276.55,386,27,15,12,0.5556,78,9.42,1,2,0.35,0,0,0,0
EV_102161,TXN_202602161,CUST_1124,Kavya Verma,kavya.verma15@company.in,+916504513251,EdTech,PayU,Bank Transfer / NEFT,Desktop,overdue_invoice,insufficient_funds,2026-06-03 06:41:37,13190.5,490,44,29,15,0.6591,0,5.73,1,1,76.11,38,2,2,0
EV_102162,TXN_202602162,CUST_1109,Pooja Nair,pooja.nair5@outlook.com,+917237401063,B2B Wholesale,Stripe,Wallet,Tablet,checkout_abandonment,user_timeout,2026-08-09 21:19:37,3043.25,626,48,40,8,0.8333,0,6.36,3,1,5.88,0,2,2,1
EV_102163,TXN_202602163,CUST_1861,Pooja Rao,pooja.rao57@yahoo.com,+916443614797,SaaS,PayU,Credit Card,Tablet,checkout_abandonment,user_timeout,2026-07-15 18:14:37,1963.48,247,5,5,0,1.0,0,3.5,3,1,13.82,0,1,1,1
EV_102164,TXN_202602164,CUST_1549,Ishaan Joshi,ishaan.joshi64@outlook.com,+916321543768,EdTech,Stripe,NetBanking,Desktop,overdue_invoice,insufficient_funds,2026-07-10 05:30:37,47757.67,991,50,38,12,0.76,83,8.38,1,1,163.27,39,3,2,0
EV_102165,TXN_202602165,CUST_3034,Vivaan Bhat,vivaan.bhat68@enterprise.in,+917213140390,B2B Wholesale,PayU,Credit Card,Desktop,checkout_abandonment,user_timeout,2026-07-03 05:06:37,4295.39,429,18,14,4,0.7778,0,7.31,3,1,0.54,0,4,3,1
EV_102166,TXN_202602166,CUST_1481,Reyansh Gupta,reyansh.gupta38@gmail.com,+918033970459,EdTech,Cashfree,Credit Card,Tablet,failed_payment,insufficient_funds,2026-08-05 14:13:37,50000.0,1337,9,7,2,0.7778,102,7.58,1,3,0.1,0,2,2,1
EV_102167,TXN_202602167,CUST_2017,Saanvi Patel,saanvi.patel40@yahoo.com,+918473082326,B2B Wholesale,CCAvenue,Bank Transfer / NEFT,Desktop,overdue_invoice,insufficient_funds,2026-07-14 10:56:37,24283.96,1316,7,5,2,0.7143,41,5.59,1,1,56.19,3,0,0,1
EV_102168,TXN_202602168,CUST_2167,Kabir Joshi,kabir.joshi7@company.in,+917476678923,SaaS,PayU,NetBanking,Tablet,failed_payment,bank_downtime,2026-06-27 19:21:37,3933.51,1175,14,13,1,0.9286,164,8.41,4,2,17.06,0,1,1,1
EV_102169,TXN_202602169,CUST_2704,Aarav Chopra,aarav.chopra20@outlook.com,+919740543801,B2B Wholesale,PayU,Debit Card,Tablet,failed_payment,insufficient_funds,2026-07-08 08:23:37,575.14,1490,11,8,3,0.7273,0,2.31,1,1,3.16,0,0,0,1
EV_102170,TXN_202602170,CUST_3308,Arjun Reddy,arjun.reddy73@gmail.com,+917012760926,SaaS,Stripe,Debit Card,Tablet,failed_payment,bank_downtime,2026-06-29 13:37:37,4040.01,803,30,17,13,0.5667,6,7.9,4,1,1.62,0,2,1,1
EV_102171,TXN_202602171,CUST_1905,Aarav Mehta,aarav.mehta10@company.in,+919837271689,SaaS,Razorpay,Debit Card,Mobile,failed_payment,insufficient_funds,2026-06-23 12:36:37,11738.96,1314,47,23,24,0.4894,0,3.97,1,1,54.12,0,3,2,0
EV_102172,TXN_202602172,CUST_1085,Kunal Verma,kunal.verma4@yahoo.com,+918473028098,B2B Wholesale,PayU,Debit Card,Mobile,failed_payment,bank_downtime,2026-08-28 06:19:37,2542.05,1215,47,28,19,0.5957,0,7.65,4,4,4.06,0,3,1,0
EV_102173,TXN_202602173,CUST_2977,Riya Sharma,riya.sharma27@company.in,+918436933981,B2B Wholesale,PayU,NetBanking,Mobile,checkout_abandonment,user_timeout,2026-08-12 21:48:37,25000.0,1451,44,30,14,0.6818,70,5.56,3,1,11.75,0,1,1,1
EV_102174,TXN_202602174,CUST_1463,Ananya Sharma,ananya.sharma19@enterprise.in,+919026647734,EdTech,PayU,Credit Card,Mobile,checkout_abandonment,user_timeout,2026-06-04 15:02:37,1991.81,74,11,8,3,0.7273,135,3.13,3,1,1.42,0,0,0,1
EV_102175,TXN_202602175,CUST_2493,Kabir Sharma,kabir.sharma18@gmail.com,+917386669012,SaaS,CCAvenue,Debit Card,Mobile,failed_payment,expired_card,2026-07-26 04:48:37,8285.47,51,48,19,29,0.3958,7,9.17,0,1,11.83,0,3,2,0
EV_102176,TXN_202602176,CUST_2489,Kunal Gupta,kunal.gupta5@enterprise.in,+919942928075,B2B Wholesale,Cashfree,Credit Card,Mobile,failed_payment,network_error,2026-08-26 19:39:37,12470.79,854,36,25,11,0.6944,89,7.28,2,2,3.91,0,1,0,1
EV_102177,TXN_202602177,CUST_1833,Aadhya Mehta,aadhya.mehta92@enterprise.in,+917156421858,SaaS,Stripe,Credit Card,Tablet,overdue_invoice,insufficient_funds,2026-07-07 07:01:37,35855.9,514,29,24,5,0.8276,0,5.06,1,1,87.4,54,2,1,0
EV_102178,TXN_202602178,CUST_2458,Ishaan Chopra,ishaan.chopra31@enterprise.in,+917680888691,E-commerce Retail,PayU,Credit Card,Tablet,failed_payment,expired_card,2026-07-07 12:44:37,4106.06,910,16,16,0,1.0,0,5.17,0,1,4.18,0,4,3,1
EV_102179,TXN_202602179,CUST_1208,Kavya Joshi,kavya.joshi3@yahoo.com,+917326569692,SaaS,Cashfree,Credit Card,Mobile,failed_payment,bank_downtime,2026-06-29 13:03:37,1068.82,771,13,10,3,0.7692,88,8.83,4,1,26.46,0,1,1,1
EV_102180,TXN_202602180,CUST_3290,Ishaan Mehta,ishaan.mehta69@enterprise.in,+916925941625,SaaS,Cashfree,Bank Transfer / NEFT,Mobile,overdue_invoice,insufficient_funds,2026-07-11 02:50:37,46492.36,1247,32,26,6,0.8125,50,6.25,1,1,120.07,75,4,3,1
EV_102181,TXN_202602181,CUST_1913,Ira Malhotra,ira.malhotra58@enterprise.in,+917581174368,B2B Wholesale,CCAvenue,Credit Card,Desktop,overdue_invoice,insufficient_funds,2026-07-31 14:03:37,10000.0,628,46,37,9,0.8043,0,4.37,1,1,123.59,79,0,0,1
EV_102182,TXN_202602182,CUST_1280,Aadhya Patel,aadhya.patel36@enterprise.in,+917282044148,B2B Wholesale,Razorpay,Credit Card,Tablet,failed_payment,insufficient_funds,2026-07-16 15:47:37,10864.5,534,16,12,4,0.75,74,8.42,1,5,0.26,0,2,2,0
EV_102183,TXN_202602183,CUST_1100,Reyansh Singh,reyansh.singh47@outlook.com,+917298229437,E-commerce Retail,Razorpay,UPI,Desktop,failed_payment,network_error,2026-06-17 11:06:37,15456.76,495,4,3,1,0.75,0,7.04,2,3,5.16,0,2,2,1
EV_102184,TXN_202602184,CUST_1380,Rohan Rao,rohan.rao68@yahoo.com,+918563970187,E-commerce Retail,PayU,Bank Transfer / NEFT,Mobile,overdue_invoice,insufficient_funds,2026-07-06 11:39:37,32547.14,1032,29,23,6,0.7931,0,9.62,1,1,188.58,21,3,2,1
EV_102185,TXN_202602185,CUST_1135,Aditya Patel,aditya.patel88@yahoo.com,+916977046129,EdTech,Cashfree,UPI,Tablet,checkout_abandonment,user_timeout,2026-06-21 15:47:37,10527.55,1322,50,43,7,0.86,0,7.0,3,2,3.68,0,1,1,1
EV_102186,TXN_202602186,CUST_1174,Ira Sharma,ira.sharma72@enterprise.in,+917415818695,EdTech,Razorpay,Debit Card,Tablet,checkout_abandonment,user_timeout,2026-07-18 23:55:37,2251.08,1231,46,34,12,0.7391,0,8.93,3,1,3.53,0,1,1,1
EV_102187,TXN_202602187,CUST_2833,Sneha Reddy,sneha.reddy65@yahoo.com,+919393614751,EdTech,Razorpay,Credit Card,Tablet,failed_payment,network_error,2026-06-26 14:06:37,1579.77,95,36,15,21,0.4167,73,8.73,2,1,7.77,0,3,2,1
EV_102188,TXN_202602188,CUST_2842,Ira Kumar,ira.kumar42@yahoo.com,+919987728980,E-commerce Retail,Stripe,Credit Card,Desktop,failed_payment,user_timeout,2026-08-18 19:39:37,4408.97,171,16,14,2,0.875,52,4.8,3,1,12.44,0,1,1,1
EV_102189,TXN_202602189,CUST_1553,Ira Joshi,ira.joshi12@enterprise.in,+918658868885,E-commerce Retail,CCAvenue,UPI,Mobile,checkout_abandonment,user_timeout,2026-06-16 10:24:37,5097.39,30,43,29,14,0.6744,0,7.68,3,1,5.86,0,2,1,1
EV_102190,TXN_202602190,CUST_2657,Pooja Kumar,pooja.kumar78@enterprise.in,+916085555391,B2B Wholesale,PayU,UPI,Desktop,failed_payment,expired_card,2026-07-07 03:14:37,3257.49,294,50,43,7,0.86,0,8.24,0,2,30.41,0,1,1,1
EV_102191,TXN_202602191,CUST_1122,Reyansh Singh,reyansh.singh17@yahoo.com,+917881694278,SaaS,Stripe,Credit Card,Tablet,failed_payment,insufficient_funds,2026-08-08 04:05:37,6214.71,1154,46,32,14,0.6957,32,8.28,1,3,2.11,0,3,3,1
EV_102192,TXN_202602192,CUST_3027,Ananya Bhat,ananya.bhat17@yahoo.com,+919356925490,B2B Wholesale,Stripe,Credit Card,Mobile,failed_payment,expired_card,2026-06-29 07:52:37,8175.38,428,42,9,33,0.2143,152,5.47,0,3,19.62,0,1,1,0
EV_102193,TXN_202602193,CUST_3251,Meera Singh,meera.singh18@company.in,+918537338390,B2B Wholesale,Stripe,UPI,Desktop,checkout_abandonment,user_timeout,2026-06-27 20:34:37,1476.94,735,30,28,2,0.9333,0,4.68,3,1,27.37,0,2,2,1
EV_102194,TXN_202602194,CUST_2826,Arjun Malhotra,arjun.malhotra42@company.in,+919540387502,E-commerce Retail,PayU,UPI,Desktop,failed_payment,bank_downtime,2026-08-27 23:50:37,862.9,181,11,7,4,0.6364,151,8.59,4,2,23.03,0,1,0,1
EV_102195,TXN_202602195,CUST_2371,Ira Patel,ira.patel6@outlook.com,+919795043735,EdTech,Razorpay,UPI,Desktop,checkout_abandonment,user_timeout,2026-07-06 06:09:37,15668.59,627,19,15,4,0.7895,70,4.79,3,2,0.42,0,1,1,1
EV_102196,TXN_202602196,CUST_1590,Saanvi Reddy,saanvi.reddy3@company.in,+918891796055,EdTech,CCAvenue,UPI,Desktop,checkout_abandonment,user_timeout,2026-07-26 13:48:37,1884.48,677,12,7,5,0.5833,175,6.84,3,1,15.54,0,1,0,1
EV_102197,TXN_202602197,CUST_3389,Ananya Sharma,ananya.sharma51@yahoo.com,+918191587049,E-commerce Retail,CCAvenue,Debit Card,Tablet,failed_payment,network_error,2026-08-25 11:31:37,1197.08,318,4,4,0,1.0,111,8.55,2,1,7.59,0,0,0,1
EV_102198,TXN_202602198,CUST_2599,Saanvi Nair,saanvi.nair17@gmail.com,+917205597858,B2B Wholesale,CCAvenue,Wallet,Mobile,checkout_abandonment,user_timeout,2026-07-29 17:34:37,14188.19,517,48,25,23,0.5208,0,5.24,3,1,2.74,0,2,1,0
EV_102199,TXN_202602199,CUST_1569,Aarav Joshi,aarav.joshi4@company.in,+916624173500,EdTech,Cashfree,Debit Card,Tablet,failed_payment,network_error,2026-08-18 17:35:37,50000.0,248,5,2,3,0.4,52,5.69,2,2,3.51,0,0,0,1
EV_102200,TXN_202602200,CUST_2090,Saanvi Kulkarni,saanvi.kulkarni56@gmail.com,+917689065733,B2B Wholesale,CCAvenue,Bank Transfer / NEFT,Desktop,overdue_invoice,insufficient_funds,2026-06-20 03:53:37,20456.93,366,53,45,8,0.8491,0,6.45,1,1,104.26,7,2,1,1
EV_102201,TXN_202602201,CUST_1943,Aadhya Bhat,aadhya.bhat48@enterprise.in,+919148027496,B2B Wholesale,CCAvenue,UPI,Desktop,checkout_abandonment,user_timeout,2026-07-31 00:35:37,12647.47,274,38,30,8,0.7895,67,7.15,3,2,5.67,0,0,0,1
EV_102202,TXN_202602202,CUST_1834,Vivaan Chopra,vivaan.chopra91@yahoo.com,+916486037259,B2B Wholesale,Stripe,Debit Card,Desktop,checkout_abandonment,user_timeout,2026-07-14 15:59:37,25000.0,1019,40,14,26,0.35,0,2.32,3,1,7.7,0,3,2,1
EV_102203,TXN_202602203,CUST_1210,Ira Mehta,ira.mehta5@yahoo.com,+919764078277,SaaS,PayU,Credit Card,Desktop,failed_payment,expired_card,2026-08-21 16:14:37,50000.0,1108,42,32,10,0.7619,0,5.77,0,2,5.66,0,2,2,0
EV_102204,TXN_202602204,CUST_2840,Riya Rao,riya.rao26@enterprise.in,+919974376101,B2B Wholesale,PayU,Credit Card,Desktop,failed_payment,expired_card,2026-05-30 17:37:37,981.71,1392,26,22,4,0.8462,0,8.82,0,2,4.24,0,1,1,0
EV_102205,TXN_202602205,CUST_2381,Kavya Patel,kavya.patel83@company.in,+916430500889,E-commerce Retail,Cashfree,Credit Card,Desktop,failed_payment,network_error,2026-07-08 03:58:37,3501.1,961,48,32,16,0.6667,4,8.67,2,1,17.18,0,1,1,1
EV_102206,TXN_202602206,CUST_2046,Kunal Kumar,kunal.kumar96@gmail.com,+918350018062,SaaS,Cashfree,NetBanking,Desktop,failed_payment,network_error,2026-06-02 20:31:37,641.18,143,40,32,8,0.8,24,5.66,2,1,19.45,0,3,3,1
EV_102207,TXN_202602207,CUST_1439,Sneha Verma,sneha.verma18@company.in,+916321394470,SaaS,Stripe,Bank Transfer / NEFT,Desktop,overdue_invoice,insufficient_funds,2026-08-11 07:47:37,28265.87,1065,41,37,4,0.9024,0,7.44,1,1,188.43,33,1,1,1
EV_102208,TXN_202602208,CUST_1173,Aditya Mehta,aditya.mehta12@company.in,+916414741061,E-commerce Retail,PayU,UPI,Mobile,checkout_abandonment,user_timeout,2026-07-09 20:52:37,2659.93,204,51,32,19,0.6275,0,8.24,3,2,10.87,0,2,2,1
EV_102209,TXN_202602209,CUST_1408,Kabir Reddy,kabir.reddy94@gmail.com,+916443247229,SaaS,Cashfree,UPI,Mobile,failed_payment,network_error,2026-07-21 19:50:37,47867.86,212,24,17,7,0.7083,3,4.04,2,1,7.8,0,3,3,1
EV_102210,TXN_202602210,CUST_3161,Ira Bhat,ira.bhat68@company.in,+918780361048,SaaS,Razorpay,Credit Card,Desktop,failed_payment,user_timeout,2026-06-20 23:16:37,1685.06,857,36,15,21,0.4167,160,6.19,3,2,25.7,0,3,0,1
EV_102211,TXN_202602211,CUST_3241,Vihaan Singh,vihaan.singh41@gmail.com,+916784342455,SaaS,Razorpay,UPI,Tablet,checkout_abandonment,user_timeout,2026-06-16 14:38:37,4884.08,713,39,29,10,0.7436,0,6.6,3,1,2.13,0,2,1,1
EV_102212,TXN_202602212,CUST_1761,Vivaan Reddy,vivaan.reddy35@company.in,+916955863041,B2B Wholesale,Stripe,Debit Card,Desktop,failed_payment,expired_card,2026-08-16 07:00:37,50000.0,60,49,39,10,0.7959,53,7.19,0,1,6.93,0,1,1,0
EV_102213,TXN_202602213,CUST_1195,Ishaan Chopra,ishaan.chopra98@gmail.com,+916760836806,SaaS,Cashfree,UPI,Mobile,failed_payment,bank_downtime,2026-07-06 03:36:37,4173.14,343,43,36,7,0.8372,124,7.78,4,1,2.56,0,4,3,1
EV_102214,TXN_202602214,CUST_3070,Kabir Bhat,kabir.bhat1@gmail.com,+919751743641,E-commerce Retail,Stripe,UPI,Mobile,failed_payment,insufficient_funds,2026-07-24 10:32:37,14783.35,947,39,23,16,0.5897,0,8.65,1,1,31.33,0,3,2,1
EV_102215,TXN_202602215,CUST_2094,Pooja Kulkarni,pooja.kulkarni84@company.in,+918995614982,SaaS,Stripe,Debit Card,Tablet,failed_payment,insufficient_funds,2026-07-22 08:49:37,50000.0,1296,24,24,0,1.0,51,7.98,1,4,16.43,0,3,3,0
EV_102216,TXN_202602216,CUST_2482,Diya Patel,diya.patel28@yahoo.com,+917597574443,E-commerce Retail,PayU,Bank Transfer / NEFT,Mobile,overdue_invoice,insufficient_funds,2026-07-01 12:29:37,15979.09,178,11,8,3,0.7273,32,6.74,1,1,123.71,24,2,2,0
EV_102217,TXN_202602217,CUST_1391,Vivaan Nair,vivaan.nair45@gmail.com,+917885790857,E-commerce Retail,PayU,UPI,Mobile,checkout_abandonment,user_timeout,2026-06-03 14:43:37,9578.37,568,10,5,5,0.5,0,3.77,3,1,0.89,0,1,1,1
EV_102218,TXN_202602218,CUST_1025,Ira Patel,ira.patel29@gmail.com,+916304912982,B2B Wholesale,Stripe,NetBanking,Tablet,checkout_abandonment,user_timeout,2026-06-10 18:45:37,1878.43,1235,48,30,18,0.625,0,8.56,3,1,11.62,0,1,1,1
EV_102219,TXN_202602219,CUST_2753,Vivaan Gupta,vivaan.gupta93@gmail.com,+917640303816,E-commerce Retail,Razorpay,Debit Card,Tablet,failed_payment,insufficient_funds,2026-08-27 14:13:37,28228.46,1277,35,21,14,0.6,90,5.91,1,4,22.56,0,0,0,0
EV_102220,TXN_202602220,CUST_3251,Meera Singh,meera.singh18@company.in,+918537338390,B2B Wholesale,PayU,Debit Card,Desktop,failed_payment,network_error,2026-07-11 09:38:37,2178.59,735,31,29,2,0.9355,0,4.68,2,1,7.39,0,2,2,1
EV_102221,TXN_202602221,CUST_2830,Ishaan Kumar,ishaan.kumar30@company.in,+917555653468,EdTech,Cashfree,UPI,Mobile,failed_payment,expired_card,2026-06-11 00:47:37,5275.35,989,24,16,8,0.6667,0,9.2,0,1,7.82,0,1,1,0
EV_102222,TXN_202602222,CUST_1356,Meera Gupta,meera.gupta49@outlook.com,+916596313527,EdTech,Stripe,Credit Card,Desktop,failed_payment,insufficient_funds,2026-06-03 11:24:37,19516.39,1433,19,11,8,0.5789,69,6.17,1,1,13.01,0,2,0,0
EV_102223,TXN_202602223,CUST_2645,Aadhya Gupta,aadhya.gupta24@company.in,+917213756353,E-commerce Retail,Stripe,UPI,Desktop,failed_payment,network_error,2026-08-07 23:24:37,11786.66,1022,12,11,1,0.9167,0,6.29,2,1,48.46,0,1,1,1
EV_102224,TXN_202602224,CUST_2858,Vihaan Sharma,vihaan.sharma29@gmail.com,+917803383228,SaaS,PayU,UPI,Desktop,checkout_abandonment,user_timeout,2026-08-24 02:48:37,4855.83,744,7,5,2,0.7143,0,7.77,3,2,4.12,0,1,1,1
EV_102225,TXN_202602225,CUST_1221,Pooja Sharma,pooja.sharma3@yahoo.com,+916926230061,EdTech,Stripe,NetBanking,Tablet,failed_payment,insufficient_funds,2026-06-12 15:28:37,50000.0,192,11,9,2,0.8182,29,9.44,1,2,20.17,0,3,3,1
EV_102226,TXN_202602226,CUST_2286,Pooja Chopra,pooja.chopra14@company.in,+916039464404,E-commerce Retail,Razorpay,NetBanking,Mobile,checkout_abandonment,user_timeout,2026-08-20 18:31:37,12854.04,484,37,19,18,0.5135,86,7.18,3,1,1.08,0,4,0,1
EV_102227,TXN_202602227,CUST_2788,Rohan Kumar,rohan.kumar89@company.in,+917420179083,B2B Wholesale,Razorpay,Credit Card,Desktop,checkout_abandonment,user_timeout,2026-07-11 15:00:37,5839.61,634,31,15,16,0.4839,149,6.24,3,1,15.26,0,3,1,1
EV_102228,TXN_202602228,CUST_1290,Vivaan Mehta,vivaan.mehta64@outlook.com,+919216944250,EdTech,Razorpay,Credit Card,Tablet,failed_payment,expired_card,2026-07-10 19:57:37,4575.7,843,20,13,7,0.65,3,5.17,0,3,0.11,0,0,0,0
EV_102229,TXN_202602229,CUST_1829,Kunal Mehta,kunal.mehta17@outlook.com,+916049833464,EdTech,Cashfree,Debit Card,Desktop,checkout_abandonment,user_timeout,2026-07-21 19:39:37,3761.01,1402,6,4,2,0.6667,37,6.0,3,1,12.97,0,0,0,0
EV_102230,TXN_202602230,CUST_1947,Pooja Kulkarni,pooja.kulkarni70@yahoo.com,+919747114751,E-commerce Retail,PayU,Credit Card,Desktop,checkout_abandonment,user_timeout,2026-08-26 16:17:37,25000.0,372,24,13,11,0.5417,0,7.6,3,1,9.69,0,2,0,1
EV_102231,TXN_202602231,CUST_2714,Kunal Sharma,kunal.sharma91@yahoo.com,+916764521507,SaaS,Stripe,NetBanking,Mobile,failed_payment,bank_downtime,2026-06-16 16:24:37,1657.63,806,20,15,5,0.75,0,8.49,4,2,1.22,0,2,1,1
EV_102232,TXN_202602232,CUST_1443,Riya Singh,riya.singh34@gmail.com,+916388354759,EdTech,Razorpay,UPI,Mobile,failed_payment,bank_downtime,2026-06-23 16:00:37,50000.0,978,12,11,1,0.9167,179,8.82,4,1,22.49,0,2,2,1
EV_102233,TXN_202602233,CUST_3164,Pooja Malhotra,pooja.malhotra49@company.in,+917286419864,SaaS,PayU,UPI,Tablet,failed_payment,expired_card,2026-08-04 03:27:37,6560.97,874,26,16,10,0.6154,87,8.7,0,1,1.81,0,0,0,1
EV_102234,TXN_202602234,CUST_1281,Reyansh Bhat,reyansh.bhat63@yahoo.com,+918060740001,E-commerce Retail,PayU,UPI,Tablet,failed_payment,network_error,2026-08-09 10:50:37,4433.66,1473,26,14,12,0.5385,0,9.12,2,2,2.18,0,3,2,1
EV_102235,TXN_202602235,CUST_1204,Ananya Verma,ananya.verma13@enterprise.in,+918913617098,EdTech,Cashfree,UPI,Desktop,failed_payment,insufficient_funds,2026-06-22 02:19:37,5156.04,705,29,21,8,0.7241,0,7.96,1,1,22.93,0,3,3,0
EV_102236,TXN_202602236,CUST_1831,Pooja Malhotra,pooja.malhotra80@outlook.com,+917951608900,EdTech,Razorpay,Credit Card,Desktop,checkout_abandonment,user_timeout,2026-08-02 05:55:37,2827.05,901,35,25,10,0.7143,0,7.88,3,1,0.15,0,4,3,1
EV_102237,TXN_202602237,CUST_2906,Arjun Bhat,arjun.bhat69@yahoo.com,+917704057243,E-commerce Retail,Razorpay,Debit Card,Tablet,failed_payment,bank_downtime,2026-06-10 10:03:37,16695.24,726,11,8,3,0.7273,29,7.54,4,4,20.68,0,3,1,1
EV_102238,TXN_202602238,CUST_2079,Ishaan Gupta,ishaan.gupta5@gmail.com,+917450559731,EdTech,Stripe,UPI,Desktop,failed_payment,insufficient_funds,2026-06-08 06:26:37,6288.99,1061,32,30,2,0.9375,0,7.2,1,2,15.7,0,0,0,1
EV_102239,TXN_202602239,CUST_1043,Vihaan Malhotra,vihaan.malhotra34@gmail.com,+919821286999,SaaS,Stripe,UPI,Mobile,failed_payment,expired_card,2026-08-02 14:21:37,4724.33,305,9,7,2,0.7778,0,9.21,0,1,15.67,0,1,0,1
EV_102240,TXN_202602240,CUST_1694,Ira Nair,ira.nair25@yahoo.com,+919510065121,EdTech,Cashfree,NetBanking,Tablet,checkout_abandonment,user_timeout,2026-06-07 23:06:37,12527.87,401,26,14,12,0.5385,32,7.8,3,2,0.86,0,0,0,0
EV_102241,TXN_202602241,CUST_3208,Aditya Nair,aditya.nair19@gmail.com,+919797692234,SaaS,Stripe,UPI,Tablet,failed_payment,bank_downtime,2026-07-09 23:52:37,4332.04,715,10,6,4,0.6,132,3.86,4,1,15.9,0,1,0,0
EV_102242,TXN_202602242,CUST_3475,Arjun Rao,arjun.rao22@enterprise.in,+919218125703,E-commerce Retail,Stripe,UPI,Tablet,failed_payment,insufficient_funds,2026-07-20 18:25:37,50000.0,1212,24,20,4,0.8333,24,8.08,1,2,4.51,0,0,0,1
EV_102243,TXN_202602243,CUST_1283,Kunal Sharma,kunal.sharma92@gmail.com,+917487619960,E-commerce Retail,PayU,UPI,Tablet,failed_payment,expired_card,2026-06-07 04:23:37,756.18,619,30,17,13,0.5667,123,7.16,0,3,14.74,0,2,0,1
EV_102244,TXN_202602244,CUST_3484,Ananya Patel,ananya.patel2@outlook.com,+917955684376,EdTech,Cashfree,Debit Card,Tablet,checkout_abandonment,user_timeout,2026-07-23 03:20:37,2945.02,1128,44,29,15,0.6591,0,8.0,3,2,8.09,0,2,2,1
EV_102245,TXN_202602245,CUST_2539,Diya Reddy,diya.reddy54@company.in,+917981199619,SaaS,Stripe,Credit Card,Mobile,checkout_abandonment,user_timeout,2026-08-04 07:41:37,5796.42,985,4,2,2,0.5,109,8.62,3,1,7.03,0,1,0,0
EV_102246,TXN_202602246,CUST_2435,Ananya Kumar,ananya.kumar63@outlook.com,+919016316162,SaaS,PayU,NetBanking,Mobile,failed_payment,insufficient_funds,2026-06-17 23:37:37,1240.82,1267,51,44,7,0.8627,0,7.4,1,1,2.53,0,3,3,1
EV_102247,TXN_202602247,CUST_2509,Vivaan Rao,vivaan.rao94@company.in,+916832930007,B2B Wholesale,Razorpay,Bank Transfer / NEFT,Tablet,overdue_invoice,insufficient_funds,2026-08-17 06:35:37,17841.8,813,21,15,6,0.7143,0,6.5,1,1,191.62,49,1,0,0
EV_102248,TXN_202602248,CUST_2068,Kabir Patel,kabir.patel73@company.in,+916218709107,B2B Wholesale,Cashfree,Bank Transfer / NEFT,Mobile,overdue_invoice,insufficient_funds,2026-06-28 16:45:37,56872.41,633,24,16,8,0.6667,0,2.91,1,1,26.53,83,1,1,1
EV_102249,TXN_202602249,CUST_1746,Saanvi Patel,saanvi.patel66@gmail.com,+919882100932,B2B Wholesale,Razorpay,Credit Card,Tablet,failed_payment,user_timeout,2026-06-01 21:54:37,37933.14,809,22,16,6,0.7273,153,6.13,3,1,33.2,0,3,3,0
EV_102250,TXN_202602250,CUST_2568,Diya Kulkarni,diya.kulkarni73@enterprise.in,+919712961266,E-commerce Retail,Razorpay,Credit Card,Tablet,failed_payment,bank_downtime,2026-06-01 08:35:37,2493.66,865,7,5,2,0.7143,0,8.75,4,3,15.65,0,2,2,1
EV_102251,TXN_202602251,CUST_1108,Kabir Gupta,kabir.gupta10@outlook.com,+916011492154,EdTech,Stripe,Credit Card,Mobile,failed_payment,insufficient_funds,2026-06-24 21:00:37,18485.55,1160,29,23,6,0.7931,0,8.89,1,1,32.53,0,4,4,0
